experiment,batch_size,latent_dim,epochs,fid,g_final,d_final
exp2,64,100,5,361.57525634765625,0.7896609692012563,1.3955217886736049
exp1,128,100,5,380.7887878417969,0.8037771126057239,1.4417690266954137
